english,french
Tidyverse,Tidyverse
Tied rank,Égalité du rang
Tiger Team,Équipe corsaire
Tightened inspection,Contrôle renforcé
Tiled convolution,Convolution pavée
Tilted time window,Fenêtre dilatée
Time complexity,Complexité en temps
Time domain,Domaine temporel
Time measurement datum,Donnée temporelle
Time reversal test,Test de réversibilité dans le temps
Time sampled measurement data set,Ensemble de données de mesure échantillonnées dans le temps
Time series,Série chronologique
Time series analysis,Analyse de séries temporelles
Time series data,Série chronologique
Time stamped measurement datum,Mesure horodatée
Time unit,Unité de temps
Time-delay neural network,Réseau de neurones à retard temporel
Tiny machine learning,Apprentissage automatique minuscule
TinyML,Apprentissage automatique minuscule
To retract,Suppression
Tobit model,Modèle de Tobit
Tobler hyperelliptical projection,Projection hyperelliptique de Tobler
Tobler's first law,Première loi de Tobler
Toeplitz covariance structure,Structure de covariance de Toeplitz
Tokenization,Segmentation
Tokenizer,Segmenteur
Tolerance,Marge d'erreur
Tolerance limit,Seuil de tolérance
Top-down,Descendant
Top-down filtering,Filtrage descendant
Top-down processing,Traitement descendant
Top-nodes algorithm,Algorithme des nœuds chapeaux
Topological,Topologique
Topology,Topologie
Topology-preserving map,Carte autoadaptative
Torch,Torch
Total correlation,Corrélation totale
Tracking study,Étude de panel
Traffic intensity,Densité de circulation
Training curve,Courbe d'apprentissage
Training data,Données d'entraînement
Training error,Erreur d'entraînement
Training model,Modèle
Training rate,Taux d'apprentissage
Training set,Ensemble d'apprentissage
Transduction,Transduction
Transductive inference,Transduction
Transductive learning,Apprentissage transductif
Transfer function,Fonction d'activation
Transfer learning,Apprentissage par transfert
Transferability,Transférabilité
Transformer,Réseau autoattentif
Transhumanism,Transhumanisme
Transition matrix,Matrice de transition
Transition system,Système de transition d'états
Transmission Control Protocol/Internet Protocol,TCP/IP
Transmission disequilibrium test,Test de transmission de déséquilibre
Transparency,Transparence
Transparent artificial intelligence,Intelligence artificielle explicable
Transposed convolution,Convolution transposée
Travelling salesman problem,Problème du voyageur de commerce
Treatment contrast,Contraste de traitement
Tree induction algorithm,Algorithme d'induction d'arbre
Tree structure,Structure arborescente
Tree-pruning,Élagage
Trend fitting,Ajustement de la tendance
Trend surface mapping,Cartographie de surface de tendances
Triangular distribution,Distribution triangulaire
Trimmed mean,Moyenne tronquée
Trint,Trint
Tripwire,Tripwire
Trivial matrix,Matrice nulle
Trojan,Cheval de Troie
Trojan horse,Cheval de Troie
Trojan horse program,Cheval de Troie
Trojan program,Cheval de Troie
Trojan virus,Cheval de Troie
Troncature,Troncature
True mean,Moyenne de la population
True negative,Vrai négatif
True negative rate,Taux de vrais négatifs
True positive,Vrai positif
True positive rate,Taux de vrais positifs
True quantified Boolean formula,Formule booléenne quantifiée vraie
True under an interpretation,Vrai dans une interprétation
Truncated mean,Moyenne tronquée
Truncated normal distribution,Distribution normale tronquée
Trust Region Algorithms,Algorithme à régions de confiance
Trusted Computer Systèm Evaluation Center,Trusted Computer System Evaluation Center
Trusted execution environnement,Environnement d’exécution de confiance
Truth maintenance system,Système de maintien vérifonctionnel
Truth table,Table de vérité
TTS synthesiser,Synthèse vocale
Tukey HSD for Post-Hoc Analysis,Test HDS de Tukey
Tukey HSD test,Test HDS de Tukey
Tukey method,Test de Tukey
Tukey test,Test HDS de Tukey
Tukey's honest significance test,Test de Tukey
Tukey's HSD test,Test HDS de Tukey
Tukey's range test,Test de Tukey
Tukey's test,Test de Tukey
Tuning,Réglage
Tunnel effect,Effet tunnel
Turing machine,Machine de Turing
Turing test,Test de Turing
Two dimensional cartesian coordinate system,Système de coordonnées cartésiennes bidimensionnel
Two dimensional cartesian spatial coordinate datum,Donnée de coordonnées spatiales cartésiennes bidimensionnelles
Two dimensional cartesian spatial coordinate origin,Origine de coordonnées spatiales cartésiennes bidimensionnelles
Two dimensional region,Région spatiale bidimensionnelle
Two sample Hotelling T2 test,Test T2 de Hotelling sur deux échantillons
Two-by-two frequency table,Tableau à quatre cases
Two-dimensional Poisson process,Processus de Poisson bidimensionnel
Two-factor authentication,Authentification à deux facteurs
Two-phase sampling,Échantillonnage à deux degrés
Two-sided test,Test bilatéral
Two-stage sample,Échantillon à deux degrés
Two-stage sampling,Échantillonnage à deux degrés
Two-state Neural Network,Deux États dans les Réseaux de Neurones
Two-step authentication,Authentification à deux étapes
Two-tailed test,Test bilatéral
Two-way ANOVA,ANOVA à deux facteurs
Two-way classification table,Tableau de contingence
Type I error,Erreur de première espèce
Type II Error,Erreur de deuxième espèce
Type one grammar,Grammaire dépendante du contexte
Type two grammar,Grammaire indépendante du contexte
U-Net,U-Net
U-test,Test de Wilcoxon
Ubiquitous knowledge discovery,Extraction de connaissance omniprésente
ULMFiT,ULMFiT
Ultra High Vacuum,Ultravide
UMAP,Algorithme UMAP
Umbrella term,Hyperonyme
Unbalanced data,Données déséquilibrées
Unbiased confidence intervals,Intervalle de confiance non biaisé
Unbiased error,Erreur non biaisée
Unbiased estimator,Estimateur sans biais
Unbiased sample,Échantillon non biaisé
Uncanny valley,Vallée de l'étrange
Uncertain reasoning,Raisonnement sous incertitude
Uncertainty principle,Principe d'indétermination de Heisenberg
Uncertainty Quantification,Quantification de l’incertitude
Unconventional Computing,Informatique non conventionnelle
Underfitting,Sous-ajustement
Underlearning,Sous-ajustement
Undertraining,Sous-ajustement
Unification algorithm,Algorithme d'unification
Uniform Distribution,Loi uniforme
Uniform Manifold Approximation and Projection,Algorithme UMAP
Unimodal,Unimodal
Unique Constraint,Contrainte Unique
Unique factor,Facteur unique
Uniqueness,Unicité
Unit matrix,Matrice unité
Unit of length,Unité de longueur
Unit of sampling,Unité d'échantillonnage
Unit of time,Unité de temps
Unit operation,Opération unitaire
Unit stage sampling,Échantillonnage simple
Unitary Matrix,Matrice unitaire
Unitary sampling,Échantillonnage simple
Univariate distribution,Distribution à une variable
Universal hashing,Hachage universel
Universal quantum gates,Portes quantiques universelles
Universe mean,Moyenne vraie
UNIX Worm,Ver d'Internet
Unlabeled data,Données non étiquetées
Unlabeled example,Exemple sans étiquette
Unobservable variable,Variable théorique
Unpatched application,Application non corrigée
Unrestricted random sample,Échantillon aléatoire sans restriction
Unsatisfiable,Insatisfaisable
Unsolicited mass e-mail,Pourriel
Unstructured covariance structure,Structure de covariance non structurée
Unstructured Data,Données structurées
Unstructured Data Analysis,Analyse de données non structurées
Unstructured Data Mining,Exploration de données non structurées
Unsupervised learning,Apprentissage non supervisé
Unsupervised machine learning,Apprentissage non supervisé
Unsupervised training,Apprentissage non supervisé
Unweighted mean,Moyenne non pondérée
Up and down method,Fonction en escalier
Up sampling,Convolution transposée
Upgradable software,Logiciel évolutif
Uplift modelling,Modèle uplift
Upper confidence limit,Limite de confiance supérieure
Upper quartile,Troisième quartile
Urn model,Modèle de l'urne
Urn problem,Modèle de l'urne
User generated content,Contenu généré par les utilisateurs
Utility theory,Théorie de l'utilité
Utterance,Énonciation
V-Fold,V-Ensembles
V-fold cross validation,Valeur de support
Vague prior,A priori vague
Validation Curve,Courbe de validation
Validation data,Données de validation
Validation data set,Données de validation
Validation dataset,Données de validation
Validation set,Données de validation
Validity,Satisfiabilité
Value,Valeur
Value at risk,Valeur à risque
Value index,Indice de valeur
Value of central tendency,Tendance centrale
Value of location,Tendance centrale
Value specification,Spécification de valeur
Value-at-risk,Valeur à risque
Variability,Variabilité
Variable,Variable
Variance component,Composante de variance
Variance function,Fonction de variance
Variance ratio test,Test du rapport des variances
Variance-covariance matrix,Matrice de variance-covariance
Variance-ratio test,Test du rapport des variances
Variate,Variable aléatoire
Variational auto encoder,Autoencodeur variationnel
Variational autoencoder,Autoencodeur variationnel
Variational bayesian method,Méthode bayésienne variationnelle
Variational derivative,Dérivée fonctionnelle
Variational lower bound,Borne inférieure variationnelle
Variational method,Calcul des variations
Variational Quantum Eigensolver,Solveur quantique variationnel de valeurs propres
Variogram,Variogramme
VC dimension,Dimension de Vapnik-Chervonenkis
Vector,Vecteur
Vector database,Base de données vectorielles
Vector Markup Language,Langage VML
Venn diagram,Diagramme de Venn
Verification,Vérification
Version number,Numéro de version
Version space,Espace de versions
Vertical Federated Learning,Apprentissage fédéré vertical
Vertical Scalability,Extensibilité verticale
VGG-16,VGG-16
Viola & Jones method,Méthode de Viola et Jones
Violin plot,Diagramme en violon
Virtual agent,Agent virtuel
Virtual assistant,Assistant virtuel
Virtual private network,Réseau privé virtuel
Virtual reality,Réalité virtuelle
Virus,Virus
Virus-protection software,Logiciel antivirus
Vision processing unit,Processeur visuel
Visual attention model,Mécanisme d'attention
Vital statistics,Statistiques démographiques
Vital statistics data,Statistiques démographiques
Viterbi algorithm,Algorithme de Viterbi
Voice assistant,Assistant vocal personnel
Voice generation,Synthèse vocale
Voice recognition,Reconnaissance automatique de la parole
Voice recognition system,Système de reconnaissance vocale
Voice synthesis,Synthèse vocale
Voice synthesis system,Synthétiseur de la parole
Voice synthesiser,Synthétiseur de la parole
Voice trigger,Déclencheur vocal
Voice-activated trigger,Déclencheur vocal
Voice-based digital assistant,Assistant vocal personnel
Voice-controlled virtual assistant,Assistant vocal personnel
Voicebot,Dialogueur
Voicebox,Voicebox
Volatility,Volatilité
Volcano plot,Diagramme en volcan
Von Mises distribution,Distribution de Von Mises
Voronoi diagram,Diagramme de Voronoï
VPN,Réseau privé virtuel
Vulnerability,Vulnérabilité informatique
Vulnerability Analysis,Analyse de vulnérabilité
Vulnerability scanner,Scanner de vulnérabilité
Vérification algorithmique,Audit algorithmique
Wagner–Fischer algorithm,Algorithme de Wagner-Fischer
WAIS,WAIS
Waiting line,File d'attente
Wake word,Mot déclencheur
Wake-sleep algorithm,Algorithme wake-sleep
Wald distribution,Distribution de Wald
Wald statistic,Statistique de Wald
Wald test,Test de Wald
Waltz algorithm,Algorithme de Waltz
Waltz filtering,Algorithme de Waltz
Waltz filtering algorithm,Algorithme de Waltz
WAN,WAN
WannaCry,WannaCry
War Dialer,Détecteur d'accès entrant
Ward's method,Méthode de Ward
Waring distribution,Distribution de Waring
Watson,Watson
Wave function,Fonction d'onde
Wave function collapse,Processus de réduction du paquet d’ondes
